stock,p_e_ratio,p_b_ratio,p_s_ratio,ev_ebitda,ev_gp,current_price
NHPC.NS,32.00735,2.2041063,8.426146,23.289,95806996480,
NLCINDIA.NS,12.2764435,1.8297095,2.179815,12.315,1.31981E+11,
NMDC.NS,9.937585,2.2698817,2.7529125,6.567,1.24319E+11,
NSLNISP.NS,,0.80774415,1.5416808,-6.756,-7532000256,48.55
NTPC.NS,16.02893,1.8093613,1.7704053,10.711,8.11056E+11,
NH.NS,45.99793,9.95189,6.4733205,26.151,24135090176,
NATIONALUM.NS,6.3995814,1.8948606,1.9662904,3.526,1.20056E+11,185
NAVINFLUOR.NS,73.30475,8.070752,9.0250025,41.624,13107600384,
NESTLEIND.NS,73.64946,59.000313,11.712171,48.989,1.14518E+11,
NETWEB.NS,93.33662,20.311428,9.35142,63.675,2664809984,
NETWORK18.NS,,1.5980698,1.1195749,-31.214,15419899904,48.8
NEWGEN.NS,57.22653,11.604297,11.857257,44.663,7458354176,
NAM-INDIA.NS,36.186314,10.90169,18.253798,26.437,20917000192,
NUVAMA.NS,27.643517,7.7460957,7.615329,,32498429952,
NUVOCO.NS,584.26227,1.4242157,1.2290668,12.264,63249100800,
OBEROIRLTY.NS,28.4589,4.032839,11.977756,20.445,34412900352,
ONGC.NS,8.539583,0.9010177,0.46648192,5.136,2.36715E+12,248.8
OIL.NS,10.626087,1.398622,2.140297,8.016,1.71036E+11,
OLECTRA.NS,83.8778,11.257165,6.726287,44.314,4236822016,
PAYTM.NS,,3.689818,8.045583,-27.062,14876000256,
OFSS.NS,30.986252,8.776275,10.726313,21.697,36421001216,
POLICYBZR.NS,234.08377,12.718054,16.471378,841.95,30185400320,
PCBL.NS,35.17437,4.1241593,1.8124901,14.989,25947099136,
PIIND.NS,33.69557,5.500743,7.0046034,23.98,42067001344,
PNBHOUSING.NS,14.092624,1.6131046,8.252202,,32849399808,
PNCINFRA.NS,6.6139593,1.2897655,0.98000395,6.072,55221846016,475
PTCIL.NS,441.20633,17.008211,90.796524,329.352,2030103040,
PVRINOX.NS,,1.377128,1.6808214,10.898,38064001024,1450
PAGEIND.NS,72.05956,37.435608,10.680971,49.659,28044582912,
PATANJALI.NS,48.478687,5.5356526,1.8461592,31.801,53157847040,
PERSISTENT.NS,63.212265,13.901102,7.3676343,41.95,33158350848,
PETRONET.NS,12.015855,2.4017382,0.9365064,7.33,66841600000,325
PFIZER.NS,30.881897,5.621767,10.39262,28.177,14709000192,
PHOENIXLTD.NS,58.090218,5.463671,14.980341,29.948,35952910336,
PIDILITIND.NS,74.967995,15.88532,11.787682,50.265,71440302080,
PEL.NS,50.721313,0.9014784,3.723137,,65335799808,
PPLPHARMA.NS,301.86765,3.342942,2.97316,22.44,59195301888,
POLYMED.NS,71.261345,9.064411,14.77567,52.372,11151414272,
POLYCAB.NS,44.545525,9.108975,3.9938996,29.341,55400628224,
POONAWALLA.NS,,3.730479,25.188978,,12165000192,
PFC.NS,5.9199195,1.1562103,3.3657842,,4.02449E+11,
POWERGRID.NS,18.091465,2.9742575,6.026094,10.276,4.57923E+11,
PRAJIND.NS,41.09572,6.4987054,2.7881908,27.339,12245442560,
PRESTIGE.NS,101.1744,3.5544696,7.7606916,28.355,59420999680,
PGHH.NS,64.61406,48.875008,10.707412,41.832,27231899648,
PNB.NS,6.148599,0.8717577,1.9803686,,5.8603E+11,
QUESS.NS,106.769485,4.5088096,0.32765695,18.205,9155909632,
RRKABEL.NS,47.799133,6.9186845,1.956676,30.569,13632831488,
RBLBANK.NS,17.399658,0.79286104,1.7099435,,72846401536,
